Index,Nuc Coords,Nuc SupervoxID,Latest NucID,Soma Coords,Soma SupervoxID,Latest SegID,Latest SegID Update Date: 2026-05-08-10:30,Proofreader Cell Type Guess,Proofreader 1,Proofreader 2,Status,AIS annotated?,Proofread Link,Proofread NucID,Proofread SegID,Updater,Date Updated,Proofreading Notes,Exclude (empty will be treated as Include),Include in Resource Paper,Directionality,Cell Class,Cell Class (machine),Confidence Cell Class (machine),Cell Typer Name,Cell Type,Reliability Human Label,Cell Type (machine),Confidence Cell Type (machine),EW2 type,EW2 type (machine),Confidence EW2 type (machine),Other Type,EyeWire1 type (for RGCs) human label,Reliability EyeWire1 human label,Labeling Notes,Machine soma location,Additional Notes,Index Log,Nuc Coords Log,Soma Coords Log,Proofread SegID Log,Proofread NucID Log,Latest NucID Log,Proofread Link Log
A4,,0,,"43023, 68501, 1590",77977708642135875,720575940567870215,,OFF-SAC,Roden Rey,,Complete (cut off),,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5875488682672128,,720575940564637213,,,,Exclude,yes,,AC,AC,0.88,Julia,OFF SAC,,OFF SAC,0.83,,,,,,,,,,,,,,,,
A5,,0,,"37166, 16688, 1973",77126343112220995,720575940561794892,,OFF-SAC,Christine,,Complete (cut off),,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4979654738837504,,720575940561794892,,,,Exclude,yes,,AC,AC,0.98,,OFF SAC,,OFF SAC,0.9,,,,,,,,,,,,,,,,
A7,"63573, 49070, 1720",80789847069375741,720575940545056597,"63537, 49048, 1697",80789847069331283,720575940572159335,,OFF-SAC,April Grace,,Complete,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6653668037230592,720575940545056597,720575940572159335,,,,,yes,,AC,AC,0.99,,OFF SAC,,OFF SAC,0.93,,,,,,,,INL,,,,,,,,
A11,"50561, 64354, 1734",78962321305127098,720575940544186175,"50520, 64370, 1656",78962321304951886,720575940563309953,,OFF-SAC,Roden Rey,,Complete,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5786660940808192,720575940544186175,720575940563309953,,,,,yes,,AC,AC,0.99,,OFF SAC,,OFF SAC,0.92,,,,,,,,INL,,,,,,,,
A12,,0,,"48971, 68918, 1646",78751833547645671,720575940552928256,,OFF-SAC,Roden Rey,,Complete (cut off),,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4855700908933120,,720575940552928256,,,,,yes,,AC,AC,0.98,,OFF SAC,,OFF SAC,0.9,,,,,,,,,,,,,,,,
A14,"59054, 51036, 1581",80156803249416671,720575940560739348,"58943, 51092, 1541",80156803249338603,720575940551194283,,OFF-SAC,Sherwin,,Complete,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5176842190323712,720575940560739348,720575940551194283,,,,,yes,,AC,AC,0.99,,OFF SAC,,OFF SAC,0.93,,,,,,,,INL,,,,,,,,
A15,"62956, 37872, 1660",80647597752416065,720575940565464697,"62831, 37872, 1614",80647597752333437,720575940552598106,,OFF-SAC,Cj,,Complete,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/6606207306432512,720575940565464697,720575940558612013,,,,,no,,AC,AC,0.99,,OFF SAC,,OFF SAC,0.93,,,,,,,,,,,,,,,,
A16,"60323, 43617, 1606",80296578665146583,720575940564433177,"60239, 43684, 1519",80296578598365641,720575940562094918,,OFF-SAC,Cj,,Complete,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5384326557466624,720575940564433177,720575940562094918,,,,,yes,,AC,AC,0.99,,OFF SAC,,OFF SAC,0.93,,,,,,,,INL,,,,,,,,
A17,"24865, 43768, 1532",75441135250128745,720575940551084343,"24862, 43800, 1546",75441135316663390,720575940568395120,,OFF-SAC,Althea Lou,,Complete,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/5076550543212544,720575940551084343,720575940568395120,,,,,yes,,AC,AC,0.99,,OFF SAC,,OFF SAC,0.93,,,,,,,,INL,,,,,,,,
A18,"37906, 31895, 1694",77269142117710200,720575940549669282,"37968, 32027, 1675",77269142117675638,720575940583862830,,OFF-SAC,Althea Lou,,Complete,,https://spelunker.cave-explorer.org/#!middleauth+https://global.daf-apis.com/nglstate/api/v1/4905706240081920,720575940549669282,720575940563946407,,,,,yes,,AC,AC,0.99,,OFF SAC,,OFF SAC,0.92,,,,,,,,INL,,,,,,,,
